Type,Mod Name,ObjectIndex,Editor Id,Name
NPC_,Crowded Cities 30.esp,0x000D02,LRccDayFarmerArgo1,Farmer Oleemeet
NPC_,Crowded Cities 30.esp,0x009008,LRccDayFarmerArgo2,Farmer Eleeme
NPC_,Crowded Cities 30.esp,0x009009,LRccDayFarmerArgo3,Farmer Heedalur
NPC_,Crowded Cities 30.esp,0x00900A,LRccDayFarmerArgo4,Farmer Wih-Ju
NPC_,Crowded Cities 30.esp,0x00900B,LRccDayFarmerArgo5,Farmer An-Zaw
NPC_,Crowded Cities 30.esp,0x000D03,LRccDayFarmerBlack1,Farmer Nistac
NPC_,Crowded Cities 30.esp,0x00900C,LRccDayFarmerBlack2,Farmer Kalort
NPC_,Crowded Cities 30.esp,0x00900D,LRccDayFarmerBlack3,Farmer Dandana
NPC_,Crowded Cities 30.esp,0x00900E,LRccDayFarmerBlack4,Farmer Riniso
NPC_,Crowded Cities 30.esp,0x00900F,LRccDayFarmerBlack5,Farmer Ildean
NPC_,Crowded Cities 30.esp,0x000D04,LRccDayFarmerCat1,Farmer Dro'Baad
NPC_,Crowded Cities 30.esp,0x009010,LRccDayFarmerCat2,Farmer Jo'Rakha
NPC_,Crowded Cities 30.esp,0x009011,LRccDayFarmerCat3,Farmer Ri'Dato
NPC_,Crowded Cities 30.esp,0x009012,LRccDayFarmerCat4,Farmer Jo'Rak
NPC_,Crowded Cities 30.esp,0x009013,LRccDayFarmerCat5,Farmer Raksada
NPC_,Crowded Cities 30.esp,0x000D05,LRccDayFarmerDelf1,Farmer Neldam
NPC_,Crowded Cities 30.esp,0x009014,LRccDayFarmerDelf2,Farmer Maggothe
NPC_,Crowded Cities 30.esp,0x009015,LRccDayFarmerDelf3,Farmer Maggot
NPC_,Crowded Cities 30.esp,0x009016,LRccDayFarmerDelf4,Farmer Sedaves
NPC_,Crowded Cities 30.esp,0x009017,LRccDayFarmerDelf5,Farmer Vedave
NPC_,Crowded Cities 30.esp,0x000D06,LRccDayFarmerHelf1,Farmer Fainde
NPC_,Crowded Cities 30.esp,0x009018,LRccDayFarmerHelf2,Farmer Gratis
NPC_,Crowded Cities 30.esp,0x009019,LRccDayFarmerHelf3,Farmer Inganare
NPC_,Crowded Cities 30.esp,0x00901A,LRccDayFarmerHelf4,Farmer Estale
NPC_,Crowded Cities 30.esp,0x00901B,LRccDayFarmerHelf5,Farmer Tyertilar
NPC_,Crowded Cities 30.esp,0x000D07,LRccDayFarmerImp1,Farmer Raxleon
NPC_,Crowded Cities 30.esp,0x00901C,LRccDayFarmerImp2,Farmer Hasphat
NPC_,Crowded Cities 30.esp,0x00901D,LRccDayFarmerImp3,Farmer Silian
NPC_,Crowded Cities 30.esp,0x00901E,LRccDayFarmerImp4,Farmer Isobelle
NPC_,Crowded Cities 30.esp,0x00901F,LRccDayFarmerImp5,Farmer Oritonde
NPC_,Crowded Cities 30.esp,0x000D08,LRccDayFarmerNord1,Farmer Hrard
NPC_,Crowded Cities 30.esp,0x009020,LRccDayFarmerNord2,Farmer Sifkning
NPC_,Crowded Cities 30.esp,0x009021,LRccDayFarmerNord3,Farmer Norrid
NPC_,Crowded Cities 30.esp,0x009022,LRccDayFarmerNord4,Farmer Haakig
NPC_,Crowded Cities 30.esp,0x009023,LRccDayFarmerNord5,Farmer Raddin
