Type,Mod Name,ObjectIndex,Editor Id,Name
NPC_,Crowded Cities 30.esp,0x000D02,LRccDayFarmerArgo1,Oleemeet
NPC_,Crowded Cities 30.esp,0x009008,LRccDayFarmerArgo2,Eleeme
NPC_,Crowded Cities 30.esp,0x009009,LRccDayFarmerArgo3,Heedalur
NPC_,Crowded Cities 30.esp,0x00900A,LRccDayFarmerArgo4,Wih-Ju
NPC_,Crowded Cities 30.esp,0x00900B,LRccDayFarmerArgo5,An-Zaw
NPC_,Crowded Cities 30.esp,0x000D03,LRccDayFarmerBlack1,Nistac
NPC_,Crowded Cities 30.esp,0x00900C,LRccDayFarmerBlack2,Kalort
NPC_,Crowded Cities 30.esp,0x00900D,LRccDayFarmerBlack3,Dandana
NPC_,Crowded Cities 30.esp,0x00900E,LRccDayFarmerBlack4,Riniso
NPC_,Crowded Cities 30.esp,0x00900F,LRccDayFarmerBlack5,Ildean
NPC_,Crowded Cities 30.esp,0x000D04,LRccDayFarmerCat1,Dro'Baad
NPC_,Crowded Cities 30.esp,0x009010,LRccDayFarmerCat2,Jo'Rakha
NPC_,Crowded Cities 30.esp,0x009011,LRccDayFarmerCat3,Ri'Dato
NPC_,Crowded Cities 30.esp,0x009012,LRccDayFarmerCat4,Jo'Rak
NPC_,Crowded Cities 30.esp,0x009013,LRccDayFarmerCat5,Raksada
NPC_,Crowded Cities 30.esp,0x000D05,LRccDayFarmerDelf1,Neldam Ienevala
NPC_,Crowded Cities 30.esp,0x009014,LRccDayFarmerDelf2,Maggothe Balvel
NPC_,Crowded Cities 30.esp,0x009015,LRccDayFarmerDelf3,Maggot Romori
NPC_,Crowded Cities 30.esp,0x009016,LRccDayFarmerDelf4,Sedaves Therayn
NPC_,Crowded Cities 30.esp,0x009017,LRccDayFarmerDelf5,Vedave Faryon
NPC_,Crowded Cities 30.esp,0x000D06,LRccDayFarmerHelf1,Fainde
NPC_,Crowded Cities 30.esp,0x009018,LRccDayFarmerHelf2,Volana
NPC_,Crowded Cities 30.esp,0x009019,LRccDayFarmerHelf3,Inganare
NPC_,Crowded Cities 30.esp,0x00901A,LRccDayFarmerHelf4,Estale
NPC_,Crowded Cities 30.esp,0x00901B,LRccDayFarmerHelf5,Tyertilar
NPC_,Crowded Cities 30.esp,0x000D07,LRccDayFarmerImp1,Raxleon Macro
NPC_,Crowded Cities 30.esp,0x00901C,LRccDayFarmerImp2,Hasphat Pelelius
NPC_,Crowded Cities 30.esp,0x00901D,LRccDayFarmerImp3,Silian Nuccusius
NPC_,Crowded Cities 30.esp,0x00901E,LRccDayFarmerImp4,Isobelle Statius
NPC_,Crowded Cities 30.esp,0x00901F,LRccDayFarmerImp5,Oritonde Peleiu
NPC_,Crowded Cities 30.esp,0x000D08,LRccDayFarmerNord1,Hrard
NPC_,Crowded Cities 30.esp,0x009020,LRccDayFarmerNord2,Sifkning
NPC_,Crowded Cities 30.esp,0x009021,LRccDayFarmerNord3,Norrid
NPC_,Crowded Cities 30.esp,0x009022,LRccDayFarmerNord4,Haakig
NPC_,Crowded Cities 30.esp,0x009023,LRccDayFarmerNord5,Raddin
NPC_,Crowded Cities 30.esp,0x000D09,LRccDayFarmerOrc1,Rogdul Boguk
NPC_,Crowded Cities 30.esp,0x009024,LRccDayFarmerOrc2,Ghamul Bugdb
NPC_,Crowded Cities 30.esp,0x009025,LRccDayFarmerOrc3,Umbraam Kashug
NPC_,Crowded Cities 30.esp,0x009026,LRccDayFarmerOrc4,Guaron Ogdub
