Type,Mod Name,ObjectIndex,Editor Id,Name
NPC_,Crowded Roads Revisited.esp,0x000CE6,LRcrTravellerCommoner13N,Ilfhil 
NPC_,Crowded Roads Revisited.esp,0x000CE7,LRcrTravellerCommoner2N,Fanar
NPC_,Crowded Roads Revisited.esp,0x000CED,LRcrTravellerCommoner11N,Aumsi 
NPC_,Crowded Roads Revisited.esp,0x000CEE,LRcrTravellerCommoner12N,Thales 
NPC_,Crowded Roads Revisited.esp,0x000CEF,LRcrTravellerCommoner1N,Hjotra 
NPC_,Crowded Roads Revisited.esp,0x000CF0,LRcrTravellerCommoner21N,Sifkni 
NPC_,Crowded Roads Revisited.esp,0x000CF1,LRcrTravellerCommoner22N,Lasskar 
NPC_,Crowded Roads Revisited.esp,0x000CF2,LRcrTravellerCommoner23N,Kjelhe 
NPC_,Crowded Roads Revisited.esp,0x000CF5,LRcrTravellerMiddle2I,Malpen Atrius 
NPC_,Crowded Roads Revisited.esp,0x000CF6,LRcrTravellerMiddle1I,Felannus Popillius
NPC_,Crowded Roads Revisited.esp,0x000CFB,LRcrTravellerMiddle11I,Pallia Flaeus
NPC_,Crowded Roads Revisited.esp,0x000CFC,LRcrTravellerMiddle12I,Menanius Laenius
NPC_,Crowded Roads Revisited.esp,0x000CFD,LRcrTravellerMiddle13I,Livia Crunus
NPC_,Crowded Roads Revisited.esp,0x000CFE,LRcrTravellerMiddle21I,Zenoripp Closcius
NPC_,Crowded Roads Revisited.esp,0x000CFF,LRcrTravellerMiddle22I,Leonde Urgelius 
NPC_,Crowded Roads Revisited.esp,0x000D00,LRcrTravellerMiddle23I,Tappin Caro
NPC_,Crowded Roads Revisited.esp,0x000D01,LRcrTravellerSupplierI,Seguri Oranius
NPC_,Crowded Roads Revisited.esp,0x000D02,LRcrTravellerSupplier1I,Albecius Amatiu 
NPC_,Crowded Roads Revisited.esp,0x000D03,LRcrTravellerSupplier3I,Pania Spurius
NPC_,Crowded Roads Revisited.esp,0x000D04,LRcrTravellerSupplier2I,Percan Plalocius
NPC_,Crowded Roads Revisited.esp,0x000D05,LRcrTravellerSupplier4I,Murber Bernia 
NPC_,Crowded Roads Revisited.esp,0x000D08,LRcrTravellerSupplier6I,Albeci Claeni 
NPC_,Crowded Roads Revisited.esp,0x000D09,LRcrTravellerSupplier5I,Ildoni Statiu 
NPC_,Crowded Roads Revisited.esp,0x000D0A,LRcrTravellerSupplier7I,Arenar Catanius
NPC_,Crowded Roads Revisited.esp,0x000D0B,LRcrTravellerSupplier8I,Ticedo Amiulusus
NPC_,Crowded Roads Revisited.esp,0x0061AB,LRcrTravellerCommoner1A,Shatalg
NPC_,Crowded Roads Revisited.esp,0x0061AC,LRcrTravellerCommoner1K,Inorra
NPC_,Crowded Roads Revisited.esp,0x006693,LRcrTravellerCommoner11A,Hul
NPC_,Crowded Roads Revisited.esp,0x006694,LRcrTravellerCommoner11K,Arabhira 
NPC_,Crowded Roads Revisited.esp,0x006695,LRcrTravellerCommoner12A,Okur
NPC_,Crowded Roads Revisited.esp,0x006696,LRcrTravellerCommoner12K,Habanj 
NPC_,Crowded Roads Revisited.esp,0x006697,LRcrTravellerCommoner13A,Ereese 
NPC_,Crowded Roads Revisited.esp,0x006698,LRcrTravellerCommoner13K,Inerri 
