"Mod","LevelerTags","Comments"
"Bob's Armory Oblivion.esp",,"Adds new items"
"DLCSpellTomes.esp","R","Keep spell tomes semi-rare."
"ExnemRuneskulls.esp",,"Adds new items"
"FCOM_BobItemReleveler.esp","DR","Alters lists"
"FCOM_FranItemReleveler.esp","DR","Alters lists"
"FCOM_FranSISpawnReleveler.esp","DR","Alters lists"
"FCOM_MMMSpawnReleveler.esp","DR","Alters lists"
"FCOM_OOOItemReleveler.esp","DR","Alters lists"
"FCOM_OOOSpawnReleveler.esp","DR","Alters lists"
"FCOM_Unity.esp","DR","Alters lists"
"FCOM_WarCryItemReleveler.esp","DR","Alters lists"
"Francesco's Leveled Creatures-Items Mod.esm","DR","Alters lists"
"Francesco's Optional Chance of More Enemies.esp","DR","Alters lists"
"Francesco's Optional Chance of Stronger Bosses.esp","DR","Alters lists"
"Francesco's Optional Chance of Stronger Enemies.esp","DR","Alters lists"
"Francesco's Optional Leveled Guards.esp","DR","Alters lists"
"Francesco's Optional New Items Add-On.esm","DR","Alters lists"
"Francesco's Optional New Creatures Add-On.esm","DR","Alters lists"
"Mart's Monster Mod - Bats Addon for FCOM.esp",,"Adds new creatures"
"Mart's Monster Mod - ExtraReavers.esp",,"Adds new NPC enemies"
"Mart's Monster Mod - Foxes.esp",,"Adds new creatures"
"Mart's Monster Mod - No Adventurers.esp","D","Removes spawns from lists"
"Mart's Monster Mod - No Beholdens.esp","D","Removes spawns from lists"
"Mart's Monster Mod - No Giants.esp","D","Removes spawns from lists"
"Mart's Monster Mod - No Reaver Hounds.esp","D","Removes spawns from lists"
"Mart's Monster Mod - No Slimes.esp","D","Removes spawns from lists"
"Mart's Monster Mod - No Spiders.esp","D","Removes spawns from lists"
"Mart's Monster Mod - No Werewolves.esp","D","Removes spawns from lists"
"Mart's Monster Mod - Safer Roads.esp","DR","Alters lists"
"Mart's Monster Mod - Spawn Rates - Increased.esp","R","Alters lists"
"Mart's Monster Mod - Spawn Rates - Moderate Increased.esp","DR","Alters lists"
"Mart's Monster Mod - Spawn Rates - Reduced Reduced.esp","DR","Alters lists"
"Mart's Monster Mod - Spawn Rates - Reduced.esp","DR","Alters lists"
"Mart's Monster Mod for FCOM.esp","DR","Alters lists"
"Mart's Monster Mod for Fran.esp","DR","Alters lists"
"Mart's Monster Mod for Francescos.esp","DR","Alters lists"
"Mart's Monster Mod for OOO.esp","DR","Alters lists"
"Mart's Monster Mod.esp","DR","Alters lists"
"MOU - Hungers SI.esp",,"Adds new items"
"MOU - Hungers.esp",,"Does not alter any lists"
"MOU - Imps.esp","DR","Alters lists"
"MOU - Leveled Lists.esp","DR","Alters lists"
"MOU - Necromancers.esp","DR","Alters lists"
"MOU - Ogres.esp","DR","Alters lists"
"MOU - Trolls.esp","DR","Alters lists"
"Oblivion WarCry EV.esp","DR","Alters lists"
"Oscuro's_Oblivion_Overhaul.esp","DR","Alters lists"
"Pestilent Afflictions.esp","R","Disease chances."
"Unofficial Oblivion Patch.esp","DR","Fixes a a few quest reward lists."
