Type,Mod Name,ObjectIndex,Editor Id,Name
NPC_,PTRoamingNPCs.esp,0x00457D,PTAdventurer01Lev26,Adventurer Tymvirri
NPC_,PTRoamingNPCs.esp,0x0059FF,PTAdventurer02Lev16,Adventurer Bun-Za
NPC_,PTRoamingNPCs.esp,0x0082FE,PTAdventurer03Lev26,Adventurer Mediloie
NPC_,PTRoamingNPCs.esp,0x009E5A,PTAdventurer04Lev8,Adventurer Agaron
NPC_,PTRoamingNPCs.esp,0x01500A,PTAdventurer05Lev28,Adventurer Daripp
NPC_,PTRoamingNPCs.esp,0x004C53,PTBattleMage01Lev9,Battlemage Thaernd
NPC_,PTRoamingNPCs.esp,0x000ED5,PTKnight01Lev7,Knight Gualva
NPC_,PTRoamingNPCs.esp,0x006E7D,PTKnight02Lev9,Knight Heddvild
NPC_,PTRoamingNPCs.esp,0x009783,PTKnight03Lev27,Knight Lucret
NPC_,PTRoamingNPCs.esp,0x01492F,PTKnight04Lev18,Knight Jeanele
NPC_,PTRoamingNPCs.esp,0x000ED7,PTMage01Lev17,Mage Arenara
NPC_,PTRoamingNPCs.esp,0x0015AD,PTMage02Lev16,Mage Ardarume
NPC_,PTRoamingNPCs.esp,0x0089D5,PTMage03Lev28,Mage Fenandre
NPC_,PTRoamingNPCs.esp,0x015006,PTMage04Lev7,Mage Olquaril
NPC_,PTRoamingNPCs.esp,0x017FE0,PTMerchantAnvilBruma,Merchant Relie
NPC_,PTRoamingNPCs.esp,0x0231BD,PTMerchantCheydinhalSkingrad,Merchant Dandana
NPC_,PTRoamingNPCs.esp,0x026190,PTMerchantChorrolBravil,Merchant Irwaen
NPC_,PTRoamingNPCs.esp,0x026F45,PTMerchantLeyawiinIC,Merchant Caccia
NPC_,PTRoamingNPCs.esp,0x01BD54,PTMerchantMercenaryAnvilBruma,Mercenary Mashagam
NPC_,PTRoamingNPCs.esp,0x02389A,PTMerchantMercenaryCheydSkingrad,Mercenary Nebiaia
NPC_,PTRoamingNPCs.esp,0x026199,PTMerchantMercenaryChorrolBravil,Mercenary Esdruf
NPC_,PTRoamingNPCs.esp,0x026F50,PTMerchantMercenaryLeyawiinIC,Mercenary Sedaves
NPC_,PTRoamingNPCs.esp,0x002359,PTRanger01Lev18,Ranger Abelle
NPC_,PTRoamingNPCs.esp,0x004C56,PTRanger02Lev8,Ranger Nachae
NPC_,PTRoamingNPCs.esp,0x007C27,PTRanger03Lev17,Ranger Fanar
NPC_,PTRoamingNPCs.esp,0x0090AC,PTRanger04Lev27,Ranger Shabhira
NPC_,PTRoamingNPCs.esp,0x00A52F,PTRider01,Adventurer Raesaia
NPC_,PTRoamingNPCs.esp,0x00B9AF,PTRider02,Knight Gakkenfe
NPC_,PTRoamingNPCs.esp,0x00C08D,PTRider03,Battlemage Wih-Ju
NPC_,PTRoamingNPCs.esp,0x00C768,PTRider04,Ranger Heniel
NPC_,PTRoamingNPCs.esp,0x017907,PTRider05,Adventurer Tsabhi
