Type,Mod Name,ObjectIndex,Editor Id,Name
CREA,ShiveringIsleTravellers.esp,0x005A39,MMPRoamingTraderBaliwog01,Grimmie
CREA,ShiveringIsleTravellers.esp,0x005A3B,MMPRoamingTraderHound01,Windfield
CREA,ShiveringIsleTravellers.esp,0x005A40,MMPRoamingTraderSIElytra01,Elzar
CREA,ShiveringIsleTravellers.esp,0x005A3D,MMPRoamingTraderSIGuar11,Clare
CREA,ShiveringIsleTravellers.esp,0x005A42,MMPWizardSIImp01,Sherwin
INGR,ShiveringIsleTravellers.esp,0x003146,TradersBaliwogLeg,Baliwog Leg
NPC_,ShiveringIsleTravellers.esp,0x0067ED,SIRoamingTraderBardGuard01,Guard Umek
NPC_,TamrielTravellers.esm,0x008552,MMPRoamingTraderSI01,Doni Nuccius
NPC_,TamrielTravellers.esm,0x008553,MMPRoamingTraderSI02,Elvia Critiu
NPC_,TamrielTravellers.esm,0x008554,MMPRoamingTraderSI03,Ashul Batul
NPC_,TamrielTravellers.esm,0x008555,MMPRoamingTraderSI04,Dilin
NPC_,TamrielTravellers.esm,0x008556,MMPRoamingTraderSI05,Eontene
NPC_,TamrielTravellers.esm,0x008557,MMPRoamingTraderSI06,Ruth Keen
NPC_,TamrielTravellers.esm,0x008558,MMPRoamingTraderSI07,Edrial Arenim
