Type,Mod,Object Id,Editor Id,Name
INGR,Cobl Main.esm,0x0011F4,cobTiDurzogMeat,"Meat, Durzog"
INGR,Cobl Main.esm,0x001BDF,cobTiNixHoundMeat,"Meat, Nix-hound"
SPEL,Cobl Main.esm,0x005DF9,cobAmwRegenAB1,Aetherial Flow I
SPEL,Cobl Main.esm,0x005DFA,cobAmwRegenAB2,Aetherial Flow II
SPEL,Cobl Main.esm,0x005DFB,cobAmwRegenAB3,Aetherial Flow III
SPEL,Cobl Main.esm,0x005DFC,cobAmwRegenAB4,Aetherial Flow IV
SPEL,Cobl Main.esm,0x005DFD,cobAmwRegenAB5,Aetherial Flow V
BOOK,DLCSpellTomes.esp,0x00128D,DLCTomeAllDamageTarget1Novice,"Tome, Elemental Blast I"
BOOK,DLCSpellTomes.esp,0x00128E,DLCTomeAllDamageTarget2Apprentice,"Tome, Elemental Blast II"
BOOK,DLCSpellTomes.esp,0x00128F,DLCTomeAllDamageTarget3Journeyman,"Tome, Elemental Blast III"
BOOK,DLCSpellTomes.esp,0x00128B,DLCTomeAllDamageTarget4Expert,"Tome, Elemental Blast IV"
SPEL,DLCSpellTomes.esp,0x00121A,DLCTomeSpellAllDamageTarget1Novice,Elemental Blast I
SPEL,DLCSpellTomes.esp,0x00121C,DLCTomeSpellAllDamageTarget2Apprentice,Elemental Blast II
SPEL,DLCSpellTomes.esp,0x00121E,DLCTomeSpellAllDamageTarget3Journeyman,Elemental Blast III
SPEL,DLCSpellTomes.esp,0x001220,DLCTomeSpellAllDamageTarget4Expert,Elemental Blast IV
CLOT,ElegantVests.esp,0x000CE7,KDBlackCoat,"Vest, Black Tailored Coat"
CLOT,ElegantVests.esp,0x000CFA,KDBlackGildedGloves,"Gloves, Black Gilded"
CLOT,ElegantVests.esp,0x000CF9,KDBlackGuarGloves,"Gloves, Black Guarhide"
CLOT,ElegantVests.esp,0x000CE6,KDBlackVest,"Vest, Black Tailored"
CLOT,ElegantVests.esp,0x000CF2,KDBlueCoat,"Vest, Blue Coat"
CLOT,ElegantVests.esp,0x000CF1,KDBlueVest,"Vest, Blue"
CLOT,ElegantVests.esp,0x000CF8,KDBurgundyGloves,"Gloves, Burgundy"
CLOT,ElegantVests.esp,0x000CEA,KDGildedVest,"Vest, Ambassador's"
CLOT,ElegantVests.esp,0x000CEB,KDGildedVest1,"Vest, Gilded"
CLOT,ElegantVests.esp,0x000CF4,KDGoldDiamond,"Vest, Gold Diamond"
CLOT,ElegantVests.esp,0x000CF0,KDGoldVest,"Vest, Gold"
CLOT,ElegantVests.esp,0x000CF7,KDGreenGloves,"Gloves, Green"
CLOT,ElegantVests.esp,0x000CEE,KDGreenVest,"Vest, Green"
CLOT,ElegantVests.esp,0x000CE9,KDGreyCoat,"Vest, Grey Coat"
CLOT,ElegantVests.esp,0x000CE8,KDGreyVest,"Vest, Grey"
CLOT,ElegantVests.esp,0x000CFB,KDLeatherBlack,"Pants, Black Leather"
CLOT,ElegantVests.esp,0x000CFE,KDLeatherGold,"Pants, Gold Leather"
CLOT,ElegantVests.esp,0x000CFD,KDLeatherGreenPants,"Pants, Green Leather"
CLOT,ElegantVests.esp,0x000CFC,KDLeatherRed,"Pants, Red Leather"
CLOT,ElegantVests.esp,0x000CF6,KDPinkFormalVest,"Vest, Pink Velvet"
CLOT,ElegantVests.esp,0x000CF5,KDPinkVelvetVest,"Vest, Pink Formal"
CLOT,ElegantVests.esp,0x000CF3,KDSleevedBlackVest,"Vest, Black Sleeved"
CLOT,ElegantVests.esp,0x000CEF,KDValenwoodVest,"Vest, Valenwood"
CLOT,ElegantVests.esp,0x000CED,KDVioletSleeved,"Vest, Violet Sleeved"
CLOT,ElegantVests.esp,0x000CEC,KDVioletVest,"Vest, Violet"
AMMO,Ivellon.esp,0x011D15,IvellonArrow,Ivellon Arrow
BOOK,Ivellon.esp,0x013D0E,01IvBkAlchArtBitter,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D16,01IvBkAlchArtCKey,"Ivellon, Note"
BOOK,Ivellon.esp,0x0276BA,01IvBkAlchArtEars,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D26,01IvBkAlchArtHavok,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D1B,01IvBkAlchArtHeart,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D12,01IvBkAlchArtMozu,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D24,01IvBkAlchArtPois,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D10,01IvBkAlchArtTNT,"Ivellon, Note"
BOOK,Ivellon.esp,0x013D21,01IvBkAlchArtUeb,"Ivellon, Note"
BOOK,Ivellon.esp,0x0415F6,01IvBkFunLetter,"Ivellon, Dead Adventurer's Notes"
BOOK,Ivellon.esp,0x01CBF3,01IvBkMiscJanus,"Ivellon, Old Diary"
BOOK,Ivellon.esp,0x0276C0,01IvBkMiscPoem,"Ivellon, Poem"
BOOK,Ivellon.esp,0x024D99,01IvBkMiscTorturerLetter,"Ivellon, Letter"
BOOK,Ivellon.esp,0x013D28,01IvBkMonUndead,"Ivellon, The Undead"
BOOK,Ivellon.esp,0x01A51D,01IvBkMQIvellonlegend,"Ivellon, The Legend of Ivellon"
BOOK,Ivellon.esp,0x03353C,01IvBkMQMarcusDiary,"Ivellon, Marcus Scribonia's Diary"
BOOK,Ivellon.esp,0x0057C5,01IvBkMQMarcusSc,"Ivellon, Old Manuscript"
BOOK,Ivellon.esp,0x0084A7,01IvBkMQMcLetter,"Ivellon, Letter"
BOOK,Ivellon.esp,0x012319,01IvBkMQParcival,Ivellon: Castle Log Book
BOOK,Ivellon.esp,0x03353D,01IvBkMQParcival2,"Ivellon, Castle Log Book Pages"
BOOK,Ivellon.esp,0x0089F0,01IvBkMQTower,Cloud Tower of Cheydinhal
BOOK,Ivellon.esp,0x01A3B8,01IvBkRelBlessing,"Ivellon, Blessed Weapons"
BOOK,Ivellon.esp,0x01A3B7,01IvBkRelGebote,"Ivellon, Nine Commandments of the Eight"
BOOK,Ivellon.esp,0x03C921,01IvMessageScrollScepterOfAncients,"Ivellon, Scepter of the Ancestors"
BOOK,Ivellon.esp,0x03BF07,01IvScepterOfAncientsScroll,"Ivellon, Ancient Scroll"
KEYM,Ivellon.esp,0x0194AF,01IvArtChestKey,"Ivellon, Rusty Chest Key"
KEYM,Ivellon.esp,0x026149,01IvButcherKey,"Ivellon, Ancient Key"
KEYM,Ivellon.esp,0x0535B5,01IvCarvainKey,"Ivellon, Key"
KEYM,Ivellon.esp,0x025284,01IvCryptKey,"Ivellon, Crypt Key"
KEYM,Ivellon.esp,0x03536E,01IvKatakombenKey,"Ivellon, Catacombs Key"
KEYM,Ivellon.esp,0x03A53A,01IvKatakombenMMKey,"Ivellon, Rusty Catacombs Key"
KEYM,Ivellon.esp,0x01FF1C,01IvKerkerKey,"Ivellon, Cell Key"
KEYM,Ivellon.esp,0x0122B8,01IvLv1PcvKey,"Ivellon, Old Key"
KEYM,Ivellon.esp,0x007AA6,01IvMaScKey,"Ivellon, Old Bronze Key"
SPEL,KT_DetectHostility.esp,0x000CE6,KTDetectHostile1Novice,Antagasense I
SPEL,KT_DetectHostility.esp,0x0016B6,KTDetectHostile2Apprentice,Antagasense II
SPEL,KT_DetectHostility.esp,0x0016B7,KTDetectHostile3Journeyman,Antagasense III
SPEL,KT_DetectHostility.esp,0x0016B9,KTDetectHostile4Expert,Antagasense IV
SPEL,KT_DetectHostility.esp,0x0016BB,KTDetectHostile5Master,Antagasense V
INGR,Mart's Monster Mod.esm,0x006524,MeatBear,"Meat, Bear"
INGR,Mart's Monster Mod.esm,0x00B545,MeatDog,"Meat, Dog"
INGR,Mart's Monster Mod.esm,0x002773,MeatFox,"Meat, Fox"
INGR,Mart's Monster Mod.esm,0x003E7F,MeatGuar,"Meat, Guar"
INGR,Mart's Monster Mod.esm,0x0083C9,MeatHorse,"Meat, Horse"
INGR,Mart's Monster Mod.esm,0x0121B4,MeatLeopard,"Meat, Leopard"
INGR,Mart's Monster Mod.esm,0x006522,MeatLion,"Meat, Lion"
INGR,Mart's Monster Mod.esm,0x004D47,MeatPahmer,"Meat, Pahmer"
INGR,Mart's Monster Mod.esm,0x0020B3,MeatPanther,"Meat, Panther"
INGR,Mart's Monster Mod.esm,0x002776,MeatRabbit,"Meat, Rabbit"
INGR,Mart's Monster Mod.esm,0x01461E,MeatRotten,"Meat, Diseased"
INGR,Mart's Monster Mod.esm,0x006521,MeatWolf,"Meat, Wolf"
MISC,Mart's Monster Mod.esm,0x00AEC4,AABarbedArrowhead,"Sharp, Barbed Bone"
MISC,Mart's Monster Mod.esm,0x009623,AABoneArrowhead,"Sharp, Bone"
MISC,Mart's Monster Mod.esm,0x009FFD,AACuredHide,"Hide, Cured"
MISC,Mart's Monster Mod.esm,0x00962E,AADaedArrowhead,"Sharp, Daedroth Tooth"
MISC,Mart's Monster Mod.esm,0x00C266,AAFlight,"Feather, Arrow Flight"
MISC,Mart's Monster Mod.esm,0x00AEC5,AAFlintArrowhead,"Sharp, Flint"
MISC,Mart's Monster Mod.esm,0x00B895,AAFlintStone,Flint
MISC,Mart's Monster Mod.esm,0x00AEC3,AAObsidianArrowhead,"Sharp, Obsidian"
MISC,Mart's Monster Mod.esm,0x00B894,AAObsidianStone,Obsidian
MISC,Mart's Monster Mod.esm,0x00962D,AAOgreArrowhead,"Sharp, Ogre Tooth"
MISC,Mart's Monster Mod.esm,0x009625,AAShaft,"Bone, Shaft"
MISC,Mart's Monster Mod.esm,0x00962C,AASilverArrowhead,"Sharp, Silver"
MISC,Mart's Monster Mod.esm,0x006A0C,DeerAntler,"Antlers, Deer"
MISC,Mart's Monster Mod.esm,0x00651F,HideBoarHide,"Pelt, Boar"
MISC,Mart's Monster Mod.esm,0x006520,HideBrownBear,"Pelt, Brown Bear"
MISC,Mart's Monster Mod.esm,0x00651D,HideDeerSkin,"Pelt, Deer"
MISC,Mart's Monster Mod.esm,0x002772,HideFoxPelt,"Pelt, Fox"
MISC,Mart's Monster Mod.esm,0x003E80,HideGuar,"Pelt, Guar"
MISC,Mart's Monster Mod.esm,0x00523C,HidePahmer,"Pelt, Pahmer"
